Country,Year,Wine_production_in_mhl
Australia,2012,12.3
Chile,2012,12.6
China,2012,13.5
France,2012,41.5
Italy,2012,45.6
South Africa,2012,10.6
Spain,2012,31.1
United States,2012,21.7
Australia,2013,12.3
Chile,2013,12.8
China,2013,11.8
France,2013,42.1
Italy,2013,54
South Africa,2013,11
Spain,2013,45.3
United States,2013,24.4
Australia,2014,11.9
Chile,2014,10
China,2014,11.6
France,2014,46.5
Italy,2014,44.2
South Africa,2014,11.5
Spain,2014,39.5
United States,2014,23.1
Australia,2015,11.9
Chile,2015,12.9
China,2015,11.5
France,2015,47
Italy,2015,50
South Africa,2015,11.2
Spain,2015,37.7
United States,2015,21.7
Australia,2016,13
Chile,2016,10.1
China,2016,11.4
France,2016,43.5
Italy,2016,50.9
South Africa,2016,10.5
Spain,2016,39.3
United States,2016,23.9
